time_est,est_hour,weekday_est,movement,count
1486977790952,9,1,0,1
1486977790956,9,1,0,1
1486977806242,9,1,0,1
1486977806263,9,1,0,1
1486977806275,9,1,0,1
1486977806279,9,1,0,1
1486977806283,9,1,0,1
1486977811367,9,1,0,1
1486977811386,9,1,0,1
1486977831546,9,1,0,1
1486977831553,9,1,0,1
1486977875343,9,1,0,1
1486977875348,9,1,0,1
1486977875353,9,1,0,1
1486977875356,9,1,0,1
1486977899737,9,1,0,1
1486977899742,9,1,0,1
1486977899747,9,1,0,1
1486978132236,9,1,0,1
1486978132244,9,1,0,1
1486978199805,9,1,0,1
1486978199811,9,1,0,1
1486978432968,9,1,0,1
1486978432977,9,1,0,1
1486978499861,9,1,0,1
1486978499867,9,1,0,1
1486978733507,9,1,0,1
1486978733514,9,1,0,1
1486978784319,9,1,0,1
1486978784332,9,1,0,1
1486979034198,9,1,0,1
1486979034206,9,1,0,1
1486979084376,9,1,0,1
1486979084384,9,1,0,1
1486979334849,9,1,0,1
1486979334855,9,1,0,1
1486979384425,9,1,0,1
1486979384433,9,1,0,1
1486979635481,9,1,0,1
1486979635486,9,1,0,1
1486979684499,9,1,0,1
1486979684505,9,1,0,1
1486979699441,9,1,0,1
1486979699445,9,1,0,1
1486979936063,9,1,0,1
1486979936067,9,1,0,1
1487581328091,9,1,0,1
1487581334744,9,1,0,1
1487582502197,9,1,0,1
1487582537441,9,1,0,1
1487582802269,9,1,0,1
1487582838353,9,1,0,1
1487583102329,9,1,0,1
1487583139002,9,1,0,1
1487583402351,9,1,0,1
1487583439837,9,1,0,1
1487583702415,9,1,0,1
1487583740514,9,1,0,1
1487584002494,9,1,0,1
1487584041164,9,1,0,1
1487584302542,9,1,0,1
1487584341901,9,1,0,1
1487584415035,9,1,0,1
1487584415063,9,1,0,1
1487584415071,9,1,0,1
1487584415078,9,1,0,1
1487584418739,9,1,0,1
1487584418753,9,1,0,1
1487584642532,9,1,0,1
1487584642537,9,1,0,1
1486375454970,10,1,0,1
1486375454977,10,1,0,1
1486375454982,10,1,0,1
1486375454988,10,1,0,1
1486375460321,10,1,0,1
1486375460327,10,1,0,1
1486375755059,10,1,0,1
1486375755066,10,1,0,1
1486375761139,10,1,0,1
1486375761147,10,1,0,1
1486375974612,10,1,0,1
1486375974621,10,1,0,1
1486375974625,10,1,0,1
1486375974629,10,1,0,1
1486376061786,10,1,0,1
1486376061793,10,1,0,1
1486376274716,10,1,0,1
1486376274723,10,1,0,1
1486376349672,10,1,0,1
1486376349681,10,1,0,1
1486376362598,10,1,0,1
1486376362604,10,1,0,1
1486376571131,10,1,0,1
1486376571136,10,1,0,1
1486376571142,10,1,0,1
1486376598274,10,1,0,1
1486376598395,10,1,0,1
1486376739412,10,1,0,1
1486376739805,10,1,0,1
1486377043364,10,1,0,1
1486377043378,10,1,0,1
1486377052892,10,1,0,1
1486377052899,10,1,0,1
1486377141216,10,1,0,1
1486377141224,10,1,0,1
1486377343405,10,1,0,1
1486377343413,10,1,0,1
1486377441966,10,1,0,1
1486377442001,10,1,0,1
1486377643449,10,1,0,1
1486377643454,10,1,0,1
1486377742357,10,1,0,1
1486377742360,10,1,0,1
1486377943545,10,1,0,1
1486377943551,10,1,0,1
1486378043022,10,1,0,1
